slice_number,weighted_f1_score,class_0_f1_score,class_1_f1_score,class_2_f1_score
20,0.6367424242424241,0.8541666666666666,0.0,0.0
23,0.6767783094098885,0.8631578947368421,0.16666666666666669,0.0
26,0.6367424242424241,0.8541666666666666,0.0,0.0
29,0.6367424242424241,0.8541666666666666,0.0,0.0
32,0.6367424242424241,0.8541666666666666,0.0,0.0
35,0.862612330198537,0.9425287356321839,0.7999999999999999,0.0
38,0.6277511961722488,0.8421052631578947,0.0,0.0
41,0.7992515516611901,0.9156626506024096,0.5833333333333334,0.0
44,0.6367424242424241,0.8541666666666666,0.0,0.0
47,0.6367424242424241,0.8541666666666666,0.0,0.0
50,0.6367424242424241,0.8541666666666666,0.0,0.0
53,0.6367424242424241,0.8541666666666666,0.0,0.0
56,0.721711229946524,0.8705882352941177,0.36363636363636365,0.0
59,0.8267794221282593,0.9302325581395349,0.6666666666666666,0.0
62,0.7992515516611901,0.9156626506024096,0.5833333333333334,0.0
65,0.7788067005458309,0.9047619047619047,0.5217391304347826,0.0
68,0.7903956508607671,0.9069767441860465,0.5714285714285713,0.0
71,0.7282213438735178,0.8695652173913043,0.39999999999999997,0.0
74,0.8041094707761374,0.9135802469135802,0.6153846153846153,0.0
77,0.8083385579937303,0.8965517241379309,0.7000000000000001,0.0
80,0.8083385579937303,0.8965517241379309,0.7000000000000001,0.0
83,0.6367424242424241,0.8541666666666666,0.0,0.0
86,0.8349090909090909,0.926829268292683,0.7200000000000001,0.0
89,0.7580748663101604,0.8705882352941177,0.5454545454545454,0.0
92,0.7660069595476294,0.8863636363636364,0.5263157894736842,0.0
95,0.7825454545454545,0.8780487804878049,0.64,0.0
98,0.7870595911265768,0.8863636363636364,0.631578947368421,0.0
101,0.7762566844919786,0.8705882352941177,0.6363636363636364,0.0
104,0.8146221248630888,0.8915662650602411,0.7500000000000001,0.0
107,0.7799926980649872,0.8674698795180722,0.6666666666666667,0.0
110,0.6367424242424241,0.8541666666666666,0.0,0.0
113,0.6983940790392404,0.860215053763441,0.28571428571428575,0.0
116,0.7883385579937303,0.8965517241379309,0.6,0.0
119,0.643444976076555,0.8631578947368421,0.0,0.0
122,0.6367424242424241,0.8541666666666666,0.0,0.0
125,0.6367424242424241,0.8541666666666666,0.0,0.0
128,0.6367424242424241,0.8541666666666666,0.0,0.0
131,0.6367424242424241,0.8541666666666666,0.0,0.0
134,0.7979344001815912,0.9213483146067416,0.5555555555555556,0.0
137,0.6367424242424241,0.8541666666666666,0.0,0.0
